"Campaign Name","Ad Set Name","Ad Name","Time of Day (Viewer's Time Zone)",Day,Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (INR)","Cost per Result",Starts,Ends,"Result Rate","Clicks (All)","CTR (All)","CPM (Cost per 1,000 Impressions)","Reporting Starts","Reporting Ends"
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","14:00:00 - 14:59:59",2020-09-15,504,507,1.0059523809524,"On-Facebook Leads",1,73.17,73.17,2020-09-13,Ongoing,0.19723865877712,9,1.77514793,144.31952663,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","00:00:00 - 00:59:59",2020-09-15,250,251,1.004,,,42.25,,2020-09-13,Ongoing,,5,1.99203187,168.32669323,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","05:00:00 - 05:59:59",2020-09-15,259,262,1.011583011583,"On-Facebook Leads",2,53.61,26.805,2020-09-13,Ongoing,0.76335877862595,13,4.96183206,204.61832061,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","19:00:00 - 19:59:59",2020-09-15,272,277,1.0183823529412,"On-Facebook Leads",1,35.16,35.16,2020-09-13,Ongoing,0.36101083032491,11,3.97111913,126.93140794,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","23:00:00 - 23:59:59",2020-09-15,403,403,1,"On-Facebook Leads",2,62.12,31.06,2020-09-13,Ongoing,0.49627791563275,11,2.72952854,154.1439206,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","09:00:00 - 09:59:59",2020-09-15,419,419,1,"On-Facebook Leads",3,54.22,18.073333333333,2020-09-13,Ongoing,0.71599045346062,20,4.77326969,129.40334129,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","07:00:00 - 07:59:59",2020-09-15,463,463,1,"On-Facebook Leads",1,68.98,68.98,2020-09-13,Ongoing,0.21598272138229,12,2.59179266,148.98488121,2020-09-15,2020-09-15
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","18:00:00 - 18:59:59",2020-09-14,39,39,1,,,7.44,,2020-09-13,Ongoing,,1,2.56410256,190.76923077,2020-09-14,2020-09-14
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","16:00:00 - 16:59:59",2020-09-14,680,680,1,,,109.88,,2020-09-13,Ongoing,,20,2.94117647,161.58823529,2020-09-14,2020-09-14
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","15:00:00 - 15:59:59",2020-09-14,35,35,1,,,4.52,,2020-09-13,Ongoing,,0,0,129.14285714,2020-09-14,2020-09-14
"UCMAS Demo Class 19th September","UCMAS Demo Class, Ghana , W 24-35, Parents + Interests","Testimonial Video Ad","17:00:00 - 17:59:59",2020-09-14,158,160,1.0126582278481,,,28.01,,2020-09-13,Ongoing,,6,3.75,175.0625,2020-09-14,2020-09-14
